episode,scenario_id,scenario_type,epsilon,episode_reward,episode_length,done_reason,success
516,4,maze,0.772545,40.4,152,goal2,1
517,5,maze,0.772159,-75.6,192,goal2,1
518,3,maze,0.771773,96.0,60,goal2,1
519,4,maze,0.771387,66.1,93,goal,1
520,0,maze,0.771001,-210.2,314,goal,1
521,0,maze,0.770616,103.1,43,goal,1
522,0,maze,0.770231,24.1,133,goal,1
523,5,maze,0.769846,-19.3,171,goal2,1
524,1,maze,0.769461,-43.8,166,goal2,1
525,4,maze,0.769076,-20.7,189,goal2,1
526,0,maze,0.768691,-28.0,180,goal,1
527,6,maze,0.768307,28.7,131,goal2,1
528,2,maze,0.767923,98.4,52,goal,1
529,4,maze,0.767539,16.3,159,goal,1
530,4,maze,0.767155,74.8,64,goal,1
531,1,maze,0.766772,77.3,69,goal,1
532,3,maze,0.766388,54.4,112,goal,1
533,1,maze,0.766005,106.5,45,goal2,1
534,0,maze,0.765622,-117.5,265,goal,1
535,2,maze,0.765239,75.7,81,goal,1
536,2,maze,0.764857,126.7,31,goal2,1
537,6,maze,0.764474,-70.6,222,goal2,1
538,6,maze,0.764092,-349.0,450,timeout,0
539,0,maze,0.76371,-58.3,201,goal2,1
540,2,maze,0.763328,-491.0,450,timeout,0
541,1,maze,0.762946,65.6,88,goal,1
542,5,maze,0.762565,101.8,54,goal,1
543,1,maze,0.762184,67.9,87,goal,1
544,5,maze,0.761802,48.3,79,goal2,1
545,0,maze,0.761422,-16.9,143,goal,1
546,2,maze,0.761041,108.1,53,goal2,1
547,6,maze,0.76066,112.3,39,goal,1
548,4,maze,0.76028,2.6,178,goal2,1
549,6,maze,0.7599,-1.8,126,goal2,1
550,3,maze,0.75952,55.0,90,goal2,1
551,4,maze,0.75914,5.4,182,goal2,1
552,5,maze,0.758761,86.9,57,goal2,1
553,1,maze,0.758381,-259.1,397,goal,1
554,1,maze,0.758002,34.4,112,goal2,1
555,6,maze,0.757623,-188.6,322,goal2,1
556,1,maze,0.757244,110.9,37,goal2,1
557,6,maze,0.756866,-75.6,212,goal2,1
558,6,maze,0.756487,64.1,93,goal2,1
559,1,maze,0.756109,46.4,92,goal,1
560,3,maze,0.755731,83.4,62,goal2,1
561,0,maze,0.755353,92.6,58,goal,1
562,1,maze,0.754975,121.4,42,goal2,1
563,5,maze,0.754598,22.1,133,goal2,1
564,2,maze,0.75422,46.9,97,goal,1
565,6,maze,0.753843,100.3,59,goal2,1
566,3,maze,0.753466,112.1,53,goal,1
567,6,maze,0.75309,64.6,98,goal2,1
